6.18;23.74;1004.54;48.85
6.71;23.74;1004.53;48.84
7.23;23.74;1004.56;48.82
7.75;23.74;1004.56;48.80
8.27;23.74;1004.54;48.80
8.80;23.74;1004.56;48.81
9.32;23.74;1004.56;48.82
9.84;23.74;1004.56;48.83
10.36;23.74;1004.56;48.85
10.88;23.74;1004.56;48.86
11.40;23.74;1004.56;48.88
11.93;23.74;1004.57;48.89
12.45;23.74;1004.55;48.89
12.97;23.74;1004.57;48.89
13.49;23.74;1004.57;48.89
14.01;23.74;1004.54;48.89
14.53;23.75;1004.58;48.89
15.06;23.74;1004.55;48.90
15.58;23.74;1004.52;48.90
16.10;23.74;1004.56;48.91
16.62;23.74;1004.59;48.91
17.15;23.74;1004.57;48.91
17.67;23.74;1004.54;48.91
18.19;23.74;1004.58;48.91
18.71;23.73;1004.55;48.91
19.23;23.74;1004.56;48.90
19.76;23.73;1004.56;48.89
20.28;23.74;1004.56;48.89
20.80;23.74;1004.58;48.88
21.32;23.74;1004.56;48.88
21.84;23.74;1004.54;48.88
22.37;23.74;1004.54;48.88
22.89;23.74;1004.57;48.88
23.41;23.74;1004.57;48.88
23.93;23.74;1004.56;48.88
24.46;23.74;1004.57;48.88
24.98;23.74;1004.57;48.89
25.50;23.74;1004.54;48.89
26.02;23.74;1004.56;48.89
26.55;23.74;1004.55;48.91
27.07;23.74;1004.55;48.90
27.59;23.74;1004.56;48.91
28.11;23.74;1004.56;48.90
28.64;23.74;1004.55;48.90
29.16;23.74;1004.58;48.89
29.68;23.73;1004.57;48.89
30.20;23.73;1004.56;48.87
30.72;23.73;1004.54;48.86
31.25;23.73;1004.56;48.86
31.77;23.73;1004.53;48.85
32.29;23.74;1004.57;48.83
32.81;23.73;1004.56;48.84
33.33;23.74;1004.58;48.84
33.85;23.74;1004.55;48.84
34.38;23.73;1004.53;48.84
34.90;23.74;1004.56;48.85
35.42;23.74;1004.53;48.86
35.94;23.74;1004.56;48.86
36.47;23.73;1004.57;48.89
36.99;23.73;1004.58;48.89
37.51;23.73;1004.57;48.91
38.03;23.74;1004.57;48.92
38.56;23.74;1004.55;48.91
39.08;23.74;1004.55;48.91
39.60;23.73;1004.56;48.91
40.12;23.73;1004.56;48.91
40.65;23.73;1004.55;48.91
41.17;23.74;1004.55;48.91
41.69;23.73;1004.56;48.91
42.21;23.74;1004.55;48.91
42.73;23.74;1004.55;48.91
43.25;23.74;1004.55;48.91
43.78;23.73;1004.54;48.92
44.30;23.73;1004.54;48.92
44.82;23.74;1004.54;48.92
45.34;23.73;1004.58;48.91
45.86;23.73;1004.56;48.91
46.39;23.73;1004.58;48.89
46.91;23.73;1004.57;48.86
47.43;23.73;1004.57;48.83
47.95;23.73;1004.56;48.78
48.47;23.73;1004.57;48.77
49.00;23.73;1004.55;48.76
49.52;23.73;1004.58;48.76
50.04;23.73;1004.59;48.78
50.56;23.73;1004.54;48.82
51.08;23.73;1004.57;48.83
51.60;23.73;1004.56;48.84
52.13;23.73;1004.54;48.85
52.65;23.73;1004.57;48.86
